year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,3,2001.0,86.0,2101.0,71.0,MQ,N645MQ,3944,JFK,BWI,40.0,184,20.0,1.0
2013,1,3,2203.0,4.0,2259.0,-1.0,EV,N13118,4162,EWR,BWI,35.0,169,22.0,3.0
2013,1,4,600.0,-5.0,651.0,-14.0,WN,N251WN,1036,EWR,BWI,34.0,169,6.0,0.0
2013,1,4,629.0,-1.0,717.0,-23.0,WN,N357SW,4646,LGA,BWI,37.0,185,6.0,29.0
2013,1,4,825.0,5.0,954.0,15.0,9E,N8884E,4051,JFK,BWI,40.0,184,8.0,25.0
2013,1,4,1110.0,10.0,1211.0,-4.0,WN,N700GS,321,LGA,BWI,38.0,185,11.0,10.0
2013,1,4,1237.0,12.0,1325.0,0.0,WN,N710SW,831,EWR,BWI,33.0,169,12.0,37.0
2013,1,4,1342.0,13.0,1438.0,7.0,EV,N15555,4280,EWR,BWI,36.0,169,13.0,42.0
2013,1,4,1540.0,-5.0,1644.0,-19.0,9E,N8903A,3635,JFK,BWI,40.0,184,15.0,40.0
2013,1,4,1733.0,23.0,1835.0,15.0,EV,N13958,4316,EWR,BWI,34.0,169,17.0,33.0
2013,1,4,1809.0,4.0,1939.0,19.0,WN,N960WN,731,LGA,BWI,48.0,185,18.0,9.0
2013,1,4,1827.0,-8.0,1925.0,-25.0,MQ,N845MQ,3944,JFK,BWI,39.0,184,18.0,27.0
2013,1,4,1832.0,17.0,1940.0,10.0,WN,N214WN,2582,EWR,BWI,34.0,169,18.0,32.0
2013,1,4,1946.0,6.0,2059.0,-7.0,9E,N8903A,4091,JFK,BWI,41.0,184,19.0,46.0
2013,1,4,2155.0,-4.0,2247.0,-13.0,EV,N21129,4162,EWR,BWI,37.0,169,21.0,55.0
2013,1,5,606.0,-4.0,703.0,-12.0,WN,N469WN,3170,EWR,BWI,33.0,169,6.0,6.0
2013,1,5,725.0,3.0,824.0,-6.0,EV,N21129,4227,EWR,BWI,32.0,169,7.0,25.0
2013,1,5,820.0,25.0,916.0,11.0,WN,N429WN,3517,LGA,BWI,38.0,185,8.0,20.0
2013,1,5,830.0,0.0,946.0,-1.0,9E,N8747B,4051,JFK,BWI,36.0,184,8.0,30.0
2013,1,5,1125.0,0.0,1222.0,-18.0,WN,N359SW,3551,LGA,BWI,38.0,185,11.0,25.0
2013,1,5,1155.0,-5.0,1250.0,-10.0,WN,N646SW,421,EWR,BWI,38.0,169,11.0,55.0
2013,1,5,1326.0,-2.0,1421.0,-9.0,EV,N13958,4119,EWR,BWI,39.0,169,13.0,26.0
2013,1,5,1328.0,-2.0,1420.0,-30.0,WN,N472WN,2748,LGA,BWI,37.0,185,13.0,28.0
2013,1,5,1537.0,-8.0,1644.0,-17.0,9E,N8914A,3635,JFK,BWI,42.0,184,15.0,37.0
2013,1,5,1729.0,29.0,1817.0,2.0,WN,N7714B,2774,EWR,BWI,34.0,169,17.0,29.0
2013,1,5,1831.0,-4.0,1941.0,-9.0,MQ,N942MQ,3944,JFK,BWI,36.0,184,18.0,31.0
2013,1,5,1939.0,-1.0,2046.0,-18.0,9E,N8672A,4091,JFK,BWI,38.0,184,19.0,39.0
2013,1,5,2153.0,-6.0,2253.0,-6.0,EV,N15973,4276,EWR,BWI,37.0,169,21.0,53.0
2013,1,6,815.0,-5.0,940.0,1.0,9E,N8903A,4051,JFK,BWI,41.0,184,8.0,15.0
2013,1,6,1207.0,-3.0,1310.0,0.0,WN,N705SW,477,EWR,BWI,42.0,169,12.0,7.0
2013,1,6,1335.0,0.0,1433.0,-1.0,EV,N14920,5683,EWR,BWI,38.0,169,13.0,35.0
2013,1,6,1552.0,7.0,1722.0,19.0,9E,N8883E,3635,JFK,BWI,38.0,184,15.0,52.0
2013,1,6,1706.0,0.0,1807.0,-1.0,EV,N16170,4316,EWR,BWI,39.0,169,17.0,6.0
2013,1,6,1758.0,-2.0,1906.0,-4.0,WN,N957WN,808,EWR,BWI,39.0,169,17.0,58.0
2013,1,6,1832.0,-3.0,1942.0,-8.0,MQ,N636MQ,3944,JFK,BWI,41.0,184,18.0,32.0
2013,1,6,1945.0,5.0,2058.0,-8.0,9E,N8883E,4091,JFK,BWI,37.0,184,19.0,45.0
2013,1,6,2202.0,3.0,2256.0,-4.0,EV,N13955,4162,EWR,BWI,36.0,169,22.0,2.0
2013,1,7,622.0,-3.0,707.0,-23.0,WN,N762SW,3127,EWR,BWI,31.0,169,6.0,22.0
2013,1,7,815.0,-5.0,924.0,-15.0,9E,N8907A,4051,JFK,BWI,38.0,184,8.0,15.0
2013,1,7,1207.0,-3.0,1301.0,-9.0,WN,N799SW,477,EWR,BWI,39.0,169,12.0,7.0
2013,1,7,1326.0,-3.0,1419.0,-12.0,EV,N16911,4280,EWR,BWI,37.0,169,13.0,26.0
2013,1,7,1610.0,25.0,1729.0,26.0,9E,N8869B,3635,JFK,BWI,36.0,184,16.0,10.0
2013,1,7,1706.0,-4.0,1800.0,-20.0,EV,N17984,4316,EWR,BWI,36.0,169,17.0,6.0
2013,1,7,1752.0,-8.0,1908.0,-2.0,WN,N270WN,808,EWR,BWI,38.0,169,17.0,52.0
2013,1,7,1834.0,-1.0,1944.0,-6.0,MQ,N606MQ,3944,JFK,BWI,37.0,184,18.0,34.0
2013,1,7,1939.0,-1.0,2037.0,-29.0,9E,N8674A,4091,JFK,BWI,39.0,184,19.0,39.0
2013,1,7,2158.0,-1.0,2247.0,-13.0,EV,N14204,4162,EWR,BWI,33.0,169,21.0,58.0
2013,1,8,625.0,0.0,740.0,10.0,WN,N439WN,3127,EWR,BWI,35.0,169,6.0,25.0
2013,1,8,818.0,-2.0,932.0,-7.0,9E,N8674A,4051,JFK,BWI,39.0,184,8.0,18.0
2013,1,8,1207.0,-3.0,1305.0,-5.0,WN,N767SW,477,EWR,BWI,34.0,169,12.0,7.0
2013,1,8,1423.0,54.0,1518.0,47.0,EV,N16919,4335,EWR,BWI,36.0,169,14.0,23.0
2013,1,8,1540.0,-5.0,1652.0,-11.0,9E,N8971A,3635,JFK,BWI,39.0,184,15.0,40.0
2013,1,8,1708.0,-2.0,1808.0,-12.0,EV,N12567,4316,EWR,BWI,33.0,169,17.0,8.0
2013,1,8,1824.0,24.0,1924.0,14.0,WN,N775SW,808,EWR,BWI,34.0,169,18.0,24.0
2013,1,8,1843.0,8.0,1940.0,-10.0,MQ,N620MQ,3944,JFK,BWI,43.0,184,18.0,43.0
2013,1,8,1948.0,8.0,2045.0,-21.0,9E,N8971A,4091,JFK,BWI,37.0,184,19.0,48.0
2013,1,8,2154.0,-5.0,2243.0,-17.0,EV,N27190,4519,EWR,BWI,36.0,169,21.0,54.0
2013,1,9,622.0,-3.0,718.0,-12.0,WN,N478WN,3127,EWR,BWI,35.0,169,6.0,22.0
2013,1,9,814.0,-6.0,939.0,0.0,9E,N8971A,4051,JFK,BWI,42.0,184,8.0,14.0
2013,1,9,1205.0,-5.0,1300.0,-10.0,WN,N708SW,477,EWR,BWI,40.0,169,12.0,5.0
2013,1,9,1315.0,-14.0,1416.0,-15.0,EV,N14991,4335,EWR,BWI,37.0,169,13.0,15.0
2013,1,9,1538.0,-7.0,1639.0,-24.0,9E,N8907A,3635,JFK,BWI,41.0,184,15.0,38.0
2013,1,9,1658.0,-12.0,1759.0,-21.0,EV,N13914,4316,EWR,BWI,37.0,169,16.0,58.0
2013,1,9,1756.0,-4.0,1858.0,-12.0,WN,N798SW,808,EWR,BWI,40.0,169,17.0,56.0
2013,1,9,1832.0,-3.0,1931.0,-19.0,MQ,N688MQ,3944,JFK,BWI,42.0,184,18.0,32.0
2013,1,9,1952.0,12.0,2059.0,-7.0,9E,N8907A,4091,JFK,BWI,40.0,184,19.0,52.0
2013,1,9,2209.0,10.0,2259.0,-1.0,EV,N11187,4519,EWR,BWI,33.0,169,22.0,9.0
2013,1,10,620.0,-5.0,708.0,-22.0,WN,N906WN,3127,EWR,BWI,35.0,169,6.0,20.0
2013,1,10,814.0,-6.0,924.0,-15.0,9E,N8836A,4051,JFK,BWI,39.0,184,8.0,14.0
2013,1,10,1206.0,-4.0,1256.0,-14.0,WN,N404WN,477,EWR,BWI,36.0,169,12.0,6.0
2013,1,10,1338.0,9.0,1430.0,-1.0,EV,N14570,4280,EWR,BWI,39.0,169,13.0,38.0
2013,1,10,1532.0,-13.0,1652.0,-11.0,9E,N8688C,3635,JFK,BWI,42.0,184,15.0,32.0
2013,1,10,1711.0,1.0,1807.0,-13.0,EV,N10575,4316,EWR,BWI,34.0,169,17.0,11.0
2013,1,10,1757.0,-3.0,1911.0,1.0,WN,N773SA,808,EWR,BWI,35.0,169,17.0,57.0
2013,1,10,1827.0,-8.0,1932.0,-18.0,MQ,N909MQ,3944,JFK,BWI,33.0,184,18.0,27.0
2013,1,10,1935.0,-5.0,2044.0,-22.0,9E,N829AY,4091,JFK,BWI,39.0,184,19.0,35.0
2013,1,10,2159.0,0.0,2247.0,-13.0,EV,N13124,4519,EWR,BWI,33.0,169,21.0,59.0
2013,1,11,622.0,-3.0,718.0,-12.0,WN,N7738A,3127,EWR,BWI,37.0,169,6.0,22.0
2013,1,11,829.0,9.0,949.0,10.0,9E,N829AY,4051,JFK,BWI,40.0,184,8.0,29.0
2013,1,11,1207.0,-3.0,1301.0,-9.0,WN,N947WN,477,EWR,BWI,38.0,169,12.0,7.0
2013,1,11,1323.0,-6.0,1425.0,-6.0,EV,N14923,4280,EWR,BWI,37.0,169,13.0,23.0
2013,1,11,1538.0,-7.0,1700.0,-3.0,9E,N8710A,3635,JFK,BWI,44.0,184,15.0,38.0
2013,1,11,1712.0,2.0,1826.0,6.0,EV,N14920,4316,EWR,BWI,52.0,169,17.0,12.0
2013,1,11,1752.0,-8.0,1908.0,-2.0,WN,N743SW,808,EWR,BWI,48.0,169,17.0,52.0
2013,1,11,1828.0,-7.0,2040.0,50.0,MQ,N918MQ,3944,JFK,BWI,43.0,184,18.0,28.0
2013,1,11,1946.0,6.0,2059.0,-7.0,9E,N8710A,4091,JFK,BWI,42.0,184,19.0,46.0
2013,1,11,2149.0,-10.0,2248.0,-12.0,EV,N11109,4519,EWR,BWI,35.0,169,21.0,49.0
2013,1,12,620.0,-5.0,721.0,-4.0,WN,N285WN,1774,EWR,BWI,37.0,169,6.0,20.0
2013,1,12,830.0,10.0,947.0,10.0,9E,N8475B,4051,JFK,BWI,40.0,184,8.0,30.0
2013,1,12,1217.0,-3.0,1305.0,-20.0,WN,N909WN,1045,EWR,BWI,34.0,169,12.0,17.0
2013,1,12,1321.0,-7.0,1421.0,-9.0,EV,N11551,4119,EWR,BWI,37.0,169,13.0,21.0
2013,1,12,1536.0,-9.0,1639.0,-22.0,9E,N8580A,3635,JFK,BWI,37.0,184,15.0,36.0
2013,1,12,1653.0,-7.0,1740.0,-20.0,WN,N264LV,63,EWR,BWI,33.0,169,16.0,53.0
2013,1,12,1825.0,-10.0,1932.0,-18.0,MQ,N932MQ,3944,JFK,BWI,35.0,184,18.0,25.0
2013,1,12,1952.0,12.0,2109.0,5.0,9E,N8515F,4091,JFK,BWI,40.0,184,19.0,52.0
2013,1,12,2150.0,-9.0,2242.0,-17.0,EV,N11150,4693,EWR,BWI,35.0,169,21.0,50.0
2013,1,13,809.0,-11.0,925.0,-14.0,9E,N8516C,4051,JFK,BWI,38.0,184,8.0,9.0
2013,1,13,1222.0,12.0,1346.0,36.0,WN,N735SA,477,EWR,BWI,51.0,169,12.0,22.0
2013,1,13,1328.0,2.0,1434.0,9.0,EV,N11547,5683,EWR,BWI,49.0,169,13.0,28.0
2013,1,13,1632.0,47.0,1727.0,24.0,9E,N8475B,3635,JFK,BWI,39.0,184,16.0,32.0
2013,1,13,1857.0,111.0,2003.0,115.0,EV,N19966,4316,EWR,BWI,38.0,169,18.0,57.0
2013,1,13,2115.0,195.0,2241.0,211.0,WN,N652SW,808,EWR,BWI,39.0,169,21.0,15.0
2013,1,13,2239.0,40.0,,,EV,N17196,4519,EWR,BWI,,169,22.0,39.0
2013,1,13,,,,,9E,,4091,JFK,BWI,,184,,
2013,1,13,,,,,MQ,N655MQ,3944,JFK,BWI,,184,,
2013,1,14,630.0,5.0,731.0,1.0,WN,N419WN,3127,EWR,BWI,36.0,169,6.0,30.0
2013,1,14,822.0,2.0,1000.0,21.0,9E,N830AY,4051,JFK,BWI,41.0,184,8.0,22.0
2013,1,14,1208.0,-2.0,1301.0,-9.0,WN,N918WN,477,EWR,BWI,41.0,169,12.0,8.0
2013,1,14,1414.0,45.0,1509.0,38.0,EV,N16546,4280,EWR,BWI,36.0,169,14.0,14.0
2013,1,14,1542.0,-3.0,1645.0,-18.0,9E,N8891A,3635,JFK,BWI,40.0,184,15.0,42.0
2013,1,14,1703.0,-7.0,1813.0,-7.0,EV,N13970,4316,EWR,BWI,36.0,169,17.0,3.0
2013,1,14,1751.0,-9.0,1857.0,-13.0,WN,N281WN,808,EWR,BWI,37.0,169,17.0,51.0
2013,1,14,1827.0,-8.0,1926.0,-24.0,MQ,N619MQ,3944,JFK,BWI,40.0,184,18.0,27.0
2013,1,14,1943.0,3.0,2049.0,-17.0,9E,N8891A,4091,JFK,BWI,41.0,184,19.0,43.0
2013,1,14,2201.0,2.0,2304.0,4.0,EV,N14143,4519,EWR,BWI,40.0,169,22.0,1.0
2013,1,15,618.0,-7.0,719.0,-11.0,WN,N403WN,3127,EWR,BWI,42.0,169,6.0,18.0
2013,1,15,816.0,-4.0,949.0,10.0,9E,N8672A,4051,JFK,BWI,43.0,184,8.0,16.0
2013,1,15,1201.0,-9.0,1307.0,-3.0,WN,N269WN,477,EWR,BWI,51.0,169,12.0,1.0
2013,1,15,1329.0,0.0,1424.0,-7.0,EV,N15980,4688,EWR,BWI,40.0,169,13.0,29.0
2013,1,15,1541.0,-4.0,1656.0,-7.0,9E,N8974C,3635,JFK,BWI,43.0,184,15.0,41.0
2013,1,15,1705.0,-5.0,1821.0,1.0,EV,N13956,4316,EWR,BWI,43.0,169,17.0,5.0
2013,1,15,1754.0,-6.0,1913.0,3.0,WN,N349SW,808,EWR,BWI,42.0,169,17.0,54.0
2013,1,15,1827.0,-8.0,1931.0,-19.0,MQ,N688MQ,3944,JFK,BWI,45.0,184,18.0,27.0
2013,1,15,1953.0,13.0,2103.0,-3.0,9E,N8974C,4091,JFK,BWI,45.0,184,19.0,53.0
2013,1,15,2151.0,-8.0,2249.0,-11.0,EV,N16183,4519,EWR,BWI,38.0,169,21.0,51.0
2013,1,16,632.0,7.0,836.0,66.0,WN,N909WN,3127,EWR,BWI,44.0,169,6.0,32.0
2013,1,16,819.0,-1.0,927.0,-12.0,9E,N8855A,4051,JFK,BWI,46.0,184,8.0,19.0
2013,1,16,1205.0,-5.0,1308.0,-2.0,WN,N238WN,477,EWR,BWI,48.0,169,12.0,5.0
2013,1,16,1328.0,-1.0,1437.0,6.0,EV,N11140,4688,EWR,BWI,42.0,169,13.0,28.0
2013,1,16,1813.0,13.0,1910.0,0.0,WN,N609SW,808,EWR,BWI,40.0,169,18.0,13.0
2013,1,16,1830.0,-5.0,1922.0,-28.0,MQ,N680MQ,3944,JFK,BWI,40.0,184,18.0,30.0
2013,1,16,1849.0,99.0,2003.0,103.0,EV,N14902,4316,EWR,BWI,39.0,169,18.0,49.0
2013,1,16,2150.0,130.0,2317.0,131.0,9E,N8943A,4091,JFK,BWI,43.0,184,21.0,50.0
2013,1,16,2151.0,-8.0,2251.0,-9.0,EV,N12564,4519,EWR,BWI,40.0,169,21.0,51.0
2013,1,16,,,,,9E,,3635,JFK,BWI,,184,,
2013,1,17,622.0,-3.0,718.0,-12.0,WN,N247WN,3127,EWR,BWI,37.0,169,6.0,22.0
2013,1,17,820.0,0.0,938.0,-1.0,9E,N8694A,4051,JFK,BWI,40.0,184,8.0,20.0
2013,1,17,1207.0,-3.0,1257.0,-13.0,WN,N460WN,477,EWR,BWI,37.0,169,12.0,7.0
2013,1,17,1326.0,-3.0,1430.0,-1.0,EV,N27962,4280,EWR,BWI,39.0,169,13.0,26.0
2013,1,17,1703.0,78.0,1810.0,67.0,9E,N8458A,3635,JFK,BWI,39.0,184,17.0,3.0
2013,1,17,1750.0,40.0,1902.0,42.0,EV,N12967,4316,EWR,BWI,45.0,169,17.0,50.0
2013,1,17,1828.0,-7.0,1935.0,-15.0,MQ,N624MQ,3944,JFK,BWI,39.0,184,18.0,28.0
2013,1,17,1832.0,32.0,1941.0,31.0,WN,N798SW,808,EWR,BWI,42.0,169,18.0,32.0
2013,1,17,1935.0,-5.0,2048.0,-18.0,9E,N8492C,4091,JFK,BWI,39.0,184,19.0,35.0
2013,1,17,2240.0,41.0,2335.0,35.0,EV,N22971,4519,EWR,BWI,41.0,169,22.0,40.0
2013,1,18,621.0,-4.0,717.0,-13.0,WN,N737JW,3127,EWR,BWI,37.0,169,6.0,21.0
2013,1,18,817.0,-3.0,929.0,-10.0,9E,N8492C,4051,JFK,BWI,38.0,184,8.0,17.0
2013,1,18,1212.0,2.0,1306.0,-4.0,WN,N605SW,477,EWR,BWI,39.0,169,12.0,12.0
2013,1,18,1436.0,67.0,1529.0,58.0,EV,N13566,4280,EWR,BWI,39.0,169,14.0,36.0
2013,1,18,1545.0,0.0,1709.0,6.0,9E,N8423C,3635,JFK,BWI,38.0,184,15.0,45.0
2013,1,18,1808.0,58.0,1916.0,56.0,EV,N15555,4316,EWR,BWI,34.0,169,18.0,8.0
2013,1,18,1808.0,8.0,1909.0,-1.0,WN,N719SW,808,EWR,BWI,34.0,169,18.0,8.0
2013,1,18,1825.0,-10.0,1939.0,-11.0,MQ,N610MQ,3944,JFK,BWI,40.0,184,18.0,25.0
2013,1,18,1946.0,6.0,2043.0,-23.0,9E,N8423C,4091,JFK,BWI,36.0,184,19.0,46.0
2013,1,18,2153.0,-6.0,2250.0,-10.0,EV,N21129,4519,EWR,BWI,37.0,169,21.0,53.0
2013,1,19,620.0,-5.0,715.0,-10.0,WN,N240WN,1774,EWR,BWI,37.0,169,6.0,20.0
2013,1,19,839.0,19.0,950.0,13.0,9E,N823AY,4051,JFK,BWI,38.0,184,8.0,39.0
2013,1,19,1216.0,-4.0,1307.0,-18.0,WN,N914WN,1045,EWR,BWI,36.0,169,12.0,16.0
2013,1,19,1325.0,-3.0,1421.0,-9.0,EV,N14974,4119,EWR,BWI,42.0,169,13.0,25.0
2013,1,19,1547.0,2.0,1649.0,-12.0,9E,N8877A,3635,JFK,BWI,38.0,184,15.0,47.0
2013,1,19,1655.0,-5.0,1750.0,-10.0,WN,N701GS,63,EWR,BWI,38.0,169,16.0,55.0
2013,1,19,1903.0,28.0,2007.0,17.0,MQ,N672MQ,3944,JFK,BWI,37.0,184,19.0,3.0
2013,1,19,2025.0,45.0,2128.0,24.0,9E,N836AY,4091,JFK,BWI,42.0,184,20.0,25.0
2013,1,19,2155.0,-4.0,2250.0,-9.0,EV,N12126,4693,EWR,BWI,36.0,169,21.0,55.0
2013,1,20,1159.0,-11.0,1302.0,-8.0,WN,N481WN,477,EWR,BWI,45.0,169,11.0,59.0
2013,1,20,1401.0,35.0,1456.0,31.0,EV,N14543,5683,EWR,BWI,35.0,169,14.0,1.0
2013,1,20,1544.0,-1.0,1710.0,7.0,9E,N8423C,3635,JFK,BWI,37.0,184,15.0,44.0
2013,1,20,1805.0,5.0,1858.0,-12.0,WN,N407WN,808,EWR,BWI,39.0,169,18.0,5.0
2013,1,20,1830.0,-5.0,1955.0,5.0,MQ,N653MQ,3944,JFK,BWI,41.0,184,18.0,30.0
2013,1,20,1932.0,-8.0,2057.0,-9.0,9E,N8588D,4091,JFK,BWI,41.0,184,19.0,32.0
2013,1,20,2310.0,71.0,6.0,66.0,EV,N12567,4519,EWR,BWI,37.0,169,23.0,10.0
2013,1,20,,,,,EV,N16178,4316,EWR,BWI,,169,,
2013,1,21,620.0,-5.0,716.0,-14.0,WN,N445WN,3127,EWR,BWI,37.0,169,6.0,20.0
2013,1,21,1420.0,51.0,1519.0,48.0,EV,N11535,4280,EWR,BWI,42.0,169,14.0,20.0
2013,1,21,1626.0,256.0,1725.0,255.0,WN,N480WN,477,EWR,BWI,40.0,169,16.0,26.0
2013,1,21,1709.0,-1.0,1814.0,-6.0,EV,N15555,4316,EWR,BWI,43.0,169,17.0,9.0
2013,1,21,1738.0,113.0,1847.0,104.0,9E,N829AY,3635,JFK,BWI,47.0,184,17.0,38.0
2013,1,21,1757.0,-3.0,1902.0,-8.0,WN,N746SW,808,EWR,BWI,43.0,169,17.0,57.0
2013,1,21,1829.0,-6.0,1928.0,-22.0,MQ,N694MQ,3944,JFK,BWI,42.0,184,18.0,29.0
2013,1,21,2156.0,-3.0,2249.0,-11.0,EV,N14117,4519,EWR,BWI,37.0,169,21.0,56.0
2013,1,21,,,,,9E,,4091,JFK,BWI,,184,,
2013,1,22,620.0,-5.0,718.0,-12.0,WN,N295WN,3127,EWR,BWI,39.0,169,6.0,20.0
2013,1,22,817.0,-3.0,941.0,2.0,9E,N8525B,4051,JFK,BWI,40.0,184,8.0,17.0
2013,1,22,1207.0,-3.0,1301.0,-9.0,WN,N907WN,477,EWR,BWI,36.0,169,12.0,7.0
2013,1,22,1330.0,1.0,1429.0,-2.0,EV,N11548,4688,EWR,BWI,40.0,169,13.0,30.0
2013,1,22,1543.0,-2.0,1715.0,12.0,9E,N8948B,3635,JFK,BWI,38.0,184,15.0,43.0
2013,1,22,1811.0,11.0,1919.0,9.0,WN,N792SW,808,EWR,BWI,35.0,169,18.0,11.0
2013,1,22,1831.0,-4.0,1954.0,4.0,MQ,N680MQ,3944,JFK,BWI,50.0,184,18.0,31.0
2013,1,22,1942.0,2.0,2111.0,5.0,9E,N8477R,4091,JFK,BWI,43.0,184,19.0,42.0
2013,1,22,2009.0,179.0,2112.0,172.0,EV,N12996,4316,EWR,BWI,44.0,169,20.0,9.0
2013,1,22,2254.0,55.0,2352.0,52.0,EV,N10156,4519,EWR,BWI,40.0,169,22.0,54.0
2013,1,23,158.0,239.0,253.0,233.0,EV,N12921,4519,EWR,BWI,38.0,169,1.0,58.0
2013,1,23,619.0,-6.0,738.0,8.0,WN,N475WN,3127,EWR,BWI,34.0,169,6.0,19.0
2013,1,23,821.0,1.0,936.0,-3.0,9E,N8933B,4051,JFK,BWI,52.0,184,8.0,21.0
2013,1,23,1206.0,-4.0,1258.0,-12.0,WN,N551WN,477,EWR,BWI,39.0,169,12.0,6.0
2013,1,23,1453.0,84.0,1550.0,79.0,EV,N14558,4688,EWR,BWI,38.0,169,14.0,53.0
2013,1,23,1601.0,16.0,1738.0,35.0,9E,N8930E,3635,JFK,BWI,43.0,184,16.0,1.0
2013,1,23,1759.0,-1.0,1900.0,-10.0,WN,N951WN,808,EWR,BWI,36.0,169,17.0,59.0
2013,1,23,1830.0,-5.0,1935.0,-15.0,MQ,N825MQ,3944,JFK,BWI,38.0,184,18.0,30.0
2013,1,23,1850.0,100.0,1948.0,88.0,EV,N11551,4316,EWR,BWI,36.0,169,18.0,50.0
2013,1,23,2110.0,90.0,2208.0,62.0,9E,N8930E,4091,JFK,BWI,39.0,184,21.0,10.0
2013,1,24,627.0,2.0,734.0,4.0,WN,N235WN,3127,EWR,BWI,38.0,169,6.0,27.0
2013,1,24,917.0,57.0,1027.0,48.0,9E,N800AY,4051,JFK,BWI,43.0,184,9.0,17.0
2013,1,24,1207.0,-3.0,1256.0,-14.0,WN,N266WN,477,EWR,BWI,37.0,169,12.0,7.0
2013,1,24,1417.0,48.0,1504.0,33.0,EV,N11535,4280,EWR,BWI,34.0,169,14.0,17.0
2013,1,24,1554.0,9.0,1725.0,22.0,9E,N8409N,3635,JFK,BWI,39.0,184,15.0,54.0
